Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
SiO2,Propylene Glycol,4.95,25.6,2.783,1.764,1731,1107,0.00907,1647.989024
ZnO,Oil,0.66,87.5,1.217,0.926,1685,1248,0.00897,2204.566874
SiO2,Oil,3.31,71.9,2.05,1.906,1888,922,0.00544,2919.773648
TiO2,Oil,0.87,74.3,1.994,0.789,2531,1684,0.00889,4320.82986
TiO2,Ethylene Glycol,3.54,40.4,1.635,0.754,1555,1598,0.00331,2255.644469
Al2O3,Water,2.02,28.4,0.491,0.637,3283,1917,0.00509,1522.907686
TiO2,Water,3.23,78.8,0.716,1.772,4366,1491,0.00535,2395.889421
CuO,Propylene Glycol,0.3,38.6,2.796,1.875,1120,1051,0.00823,5395.052684
TiO2,Oil,4.13,57.3,1.861,1.2,3774,1357,0.00213,4015.754855
TiO2,Propylene Glycol,1.32,32.2,0.973,1.366,1991,1044,0.00111,4385.895291
Al2O3,Ethylene Glycol,4.54,26.6,0.572,1.335,2792,1938,0.0055,1135.769633
ZnO,Ethylene Glycol,2.02,38,0.348,1.383,1564,1495,0.00588,1086.007891
SiO2,Oil,0.6,43.2,1.874,1.708,1510,1569,0.00607,5754.444305
CuO,Ethylene Glycol,2.42,37.3,2.697,1.176,1911,1392,0.00935,3861.933554
SiO2,Oil,1.74,47.1,0.828,1.318,3779,984,0.00573,2244.466649
ZnO,Ethylene Glycol,0.31,50.6,2.749,0.818,2863,1134,0.0067,5057.283286
ZnO,Ethylene Glycol,1.79,21.6,0.575,1.976,1665,1226,0.00093,3743.246294
SiO2,Oil,4.56,32.5,0.767,0.782,3566,1741,0.00054,2650.369208
TiO2,Propylene Glycol,4.16,68.8,0.241,0.747,3365,1814,0.00971,384.3271693
ZnO,Oil,4.04,49.6,1.643,0.815,4259,1046,0.00347,2106.755824
CuO,Propylene Glycol,2.44,23.8,2.704,1.222,2556,1174,0.00769,4223.418447
ZnO,Ethylene Glycol,4.62,74.1,2.216,0.943,3061,1014,0.00941,1328.861556
SiO2,Water,2.02,89.1,0.559,1.317,1980,1658,0.00549,1815.169037
CuO,Water,1.36,37.4,1.929,1.048,4361,1926,0.00484,7987.666384
SiO2,Oil,2.83,43.3,1.119,0.993,2487,984,0.00393,1718.207579
SiO2,Propylene Glycol,2.59,55.7,1.048,1.97,2341,1938,0.00119,7631.402009
SiO2,Oil,3.56,44.5,1.637,1.026,3232,1889,0.00723,3015.36223
TiO2,Ethylene Glycol,4.65,34.7,2.979,1.173,2723,1011,0.00201,3271.546661
CuO,Ethylene Glycol,0.76,20.9,1.631,1.577,1735,1988,0.00551,6834.323871
CuO,Oil,1.93,41.6,1.881,0.947,996,949,0.00594,1944.432582
Al2O3,Water,3.94,23.4,2.562,1.551,1742,1331,0.00841,2733.642829
Al2O3,Ethylene Glycol,0.94,30.4,0.992,1.151,1723,917,0.00924,1602.029095
Al2O3,Ethylene Glycol,4.15,39,0.79,1.206,4052,1138,0.00918,978.2235529
SiO2,Water,2.22,53.1,0.243,0.675,817,1494,0.00751,346.3945468
Al2O3,Propylene Glycol,3.65,46.8,1.608,0.821,3535,1267,0.00435,2391.818319
CuO,Water,4.09,39.3,0.647,1.947,4246,1484,0.00609,1741.420113
SiO2,Water,3.77,52.5,1.785,0.757,4140,1256,0.00283,2963.178321
CuO,Water,0.89,45.6,2.697,1.932,2263,1435,0.00442,10546.75149
Al2O3,Water,2.76,63.1,1.93,0.907,1116,2021,0.00854,2519.872636
SiO2,Water,0.96,77.6,1.399,1.797,3567,1722,0.00558,7158.528886
CuO,Propylene Glycol,4.77,28.4,0.462,1.698,3262,1385,0.00967,633.0115079
SiO2,Ethylene Glycol,1.78,61.8,1.686,1.397,4082,950,0.00164,6890.464583
Al2O3,Water,1.26,70.7,1.668,1.755,4432,1634,0.00913,6547.762587
TiO2,Oil,4.19,38.7,0.14,1.507,4518,1594,0.00379,554.6991488
SiO2,Water,0.93,67,1.901,1.899,1300,1058,0.00249,6130.288893
Al2O3,Water,2.19,47.1,0.86,1.791,2553,1008,0.00598,2207.118505
SiO2,Oil,4.07,88.3,0.663,1.659,2527,1119,0.00714,995.2974976
CuO,Water,1.19,25.4,2.737,1.509,3259,1531,0.00358,11445.79044
Al2O3,Oil,3.2,86.5,0.94,1.662,4115,1607,0.00515,3236.096223
ZnO,Ethylene Glycol,3.2,62.8,0.811,1.972,1049,1394,0.0017,2567.619752
ZnO,Oil,3.71,70,1.442,1.59,3089,1287,0.00461,2903.130679
SiO2,Oil,2.38,44.9,1.044,1.165,3156,1386,0.00263,3685.938562
CuO,Water,4.47,62.5,0.341,1.699,4324,1337,0.00567,811.9067431
TiO2,Ethylene Glycol,4.57,42.6,2.757,0.682,1093,1288,0.00182,2033.901552
ZnO,Oil,0.63,29.8,0.168,1.56,870,964,0.0024,672.8579214
SiO2,Water,1.76,77,2.218,1.105,2026,1520,0.00129,8987.289521
Al2O3,Ethylene Glycol,4.6,63.6,0.952,1.98,3269,895,0.00633,1097.934988
TiO2,Water,0.86,67.9,0.219,0.835,3822,1495,0.00364,1182.992408
TiO2,Oil,3.29,81,1.568,1.414,2196,1835,0.00579,3579.916137
CuO,Ethylene Glycol,1.84,55.2,1.092,1.762,2217,1972,0.00147,7991.232186
ZnO,Propylene Glycol,3.08,34,1.37,1.041,4154,969,0.00763,1970.766292
CuO,Water,1.24,70.3,0.281,1.601,4319,1058,0.00122,2423.451243
TiO2,Oil,0.15,88.9,2.944,1.331,2220,1041,0.00518,6818.069453
Al2O3,Propylene Glycol,3.72,30.8,2.269,1.396,2019,1810,0.00993,3245.198005
Al2O3,Oil,3.51,42.2,2.084,1.614,2902,1125,0.0075,3091.98928
CuO,Water,2.06,60.8,1.784,1.601,2739,1405,0.00391,5814.871649
Al2O3,Propylene Glycol,2.2,74.7,2.722,1.281,1459,945,0.00525,3660.973942
Al2O3,Water,0.13,41.6,2.576,1.163,2514,1867,0.0093,8169.771616
ZnO,Propylene Glycol,2.28,44.2,2.206,0.679,2450,1705,0.00888,3326.531347
ZnO,Water,1.92,80.7,0.12,0.661,2706,1504,0.00517,390.4236638
TiO2,Ethylene Glycol,1.42,22.8,2.361,1.372,1344,1444,0.00559,5033.249513
CuO,Ethylene Glycol,0.31,81.8,1.2,1.935,935,1084,0.00826,2630.838606
TiO2,Ethylene Glycol,1.61,42.2,0.295,1.227,2311,1260,0.0083,829.350054
Al2O3,Oil,0.37,25.6,2.785,0.811,4013,1366,0.00121,14335.91055
TiO2,Propylene Glycol,3.98,37.5,0.897,1.478,1843,1001,0.00612,1067.959132
ZnO,Propylene Glycol,2.76,61.8,0.508,1.051,2706,1387,0.00429,1348.04092
SiO2,Propylene Glycol,4.9,34.4,2.764,0.625,4000,1711,0.00335,2753.613225
SiO2,Oil,2.29,37.4,1.919,1.05,2878,1532,0.00281,5924.393983
SiO2,Propylene Glycol,1.75,54,1.808,1.342,4183,1930,0.00804,6695.550644
TiO2,Ethylene Glycol,2.31,72.9,0.17,1.204,4324,1417,0.00387,876.3821934
Al2O3,Ethylene Glycol,1.72,37.6,1.24,1.618,4064,946,0.00073,8084.575116
CuO,Water,4.67,36.1,2.218,1.869,2363,1436,0.00124,4884.312929
ZnO,Oil,3.78,69.4,2.972,0.697,3441,1127,0.00391,3223.633749
Al2O3,Propylene Glycol,1.61,82.6,3.025,0.656,1344,1258,0.00716,3146.241176
SiO2,Water,3.2,61.1,2.522,0.87,2813,1110,0.00872,2541.735037
TiO2,Ethylene Glycol,2.28,49.7,2.093,1.199,1765,1815,0.00249,6868.247529
SiO2,Oil,3.54,33.4,1.699,0.904,3839,1070,0.00889,1834.219225
Al2O3,Propylene Glycol,2.59,71.3,0.36,1.706,1590,1500,0.00186,1742.110002
ZnO,Propylene Glycol,4.47,44.2,0.321,0.878,823,1385,0.00267,357.9815416
CuO,Ethylene Glycol,0.83,83.1,2.314,1.674,1560,1252,0.00318,7443.329057
TiO2,Propylene Glycol,2.2,37.5,1.28,1.559,2718,1552,0.00753,3636.367692
TiO2,Propylene Glycol,1.92,77.9,0.418,1.747,1844,1999,0.00554,1984.908945
SiO2,Water,0.29,45.8,1.882,1.526,1317,942,0.0036,4690.279497
Al2O3,Water,4.38,45.6,2.614,1.536,2363,1660,0.00377,4097.785094
Al2O3,Water,1.95,78.4,2.167,1.388,3249,1523,0.00694,5990.549659
CuO,Propylene Glycol,0.93,20.5,2.285,1.622,2519,1665,0.00365,10501.16419
Al2O3,Propylene Glycol,3.36,87.6,2.521,1.574,2519,1997,0.00244,8599.809132
ZnO,Propylene Glycol,2.5,71.8,0.97,1.168,3515,1545,0.00336,3500.235622
Al2O3,Ethylene Glycol,4.25,73.8,0.398,0.617,866,1949,0.00589,372.275943
CuO,Ethylene Glycol,0.36,51.8,1.197,1.785,2756,1679,0.00328,7498.261917
CuO,Propylene Glycol,4.67,59.4,2.571,1.209,3036,1296,0.0009,5166.655322
SiO2,Propylene Glycol,4.36,42.3,2.456,0.825,1245,1041,0.00129,2263.597683
Al2O3,Ethylene Glycol,0.23,54.5,0.241,1.393,3130,1816,0.00201,2636.513339
ZnO,Oil,3.35,32.7,2.495,0.965,903,1729,0.00453,2966.929998
TiO2,Water,0.37,25.2,1.096,1.877,2456,1942,0.00612,6360.630675
SiO2,Oil,3.2,90,1.659,0.711,3060,1679,0.00252,3718.498911
CuO,Oil,2.93,47.2,0.202,2.008,3055,1050,0.00589,639.3523532
CuO,Ethylene Glycol,4.27,80.1,2.009,1.109,2241,1735,0.00083,5555.179842
Al2O3,Ethylene Glycol,2.74,86.7,0.492,0.998,1007,949,0.00815,488.3616006
CuO,Ethylene Glycol,3.92,36.4,2.818,1.538,4404,1044,0.00206,6168.785132
SiO2,Propylene Glycol,2.08,23.5,1.824,1.143,1609,1872,0.00988,3445.764374
TiO2,Propylene Glycol,3.21,75.1,2.465,1.914,2079,1417,0.00632,4805.509648
Al2O3,Propylene Glycol,1.97,41,1.817,0.807,2518,1470,0.00184,5464.710463
CuO,Ethylene Glycol,0.27,75.1,0.954,1.027,3802,936,0.00785,2382.024113
Al2O3,Water,0.23,27.5,0.88,1.53,3603,998,0.0008,7472.148671
SiO2,Oil,0.99,86.9,1.448,0.778,2486,1244,0.00645,2836.528275
Al2O3,Propylene Glycol,0.36,45.2,1.629,1.118,4100,1811,0.00789,6272.989703
SiO2,Ethylene Glycol,3.91,24.2,2.756,1.305,2416,1649,0.00949,3399.402266
SiO2,Propylene Glycol,4.81,20.5,2.006,1.683,4088,1502,0.00274,3933.013218
TiO2,Propylene Glycol,2.73,88.3,0.14,1.103,4241,1782,0.00844,556.8924601
TiO2,Ethylene Glycol,0.8,46.4,1.66,1.414,2985,955,0.00173,7218.313313
CuO,Water,0.17,27.9,0.224,1.887,3566,1635,0.00304,2430.887824
ZnO,Water,0.98,80,0.871,0.705,3727,1810,0.00595,3047.577114
Al2O3,Oil,2.69,60.6,0.321,0.69,4030,995,0.00164,969.9221827
TiO2,Ethylene Glycol,1.07,29.1,1.888,1.772,1966,1578,0.00701,6106.290245
Al2O3,Water,1.59,87.1,0.39,1.018,4134,923,0.00565,1022.164955
TiO2,Propylene Glycol,4.81,57.1,0.131,1.921,3924,1145,0.00737,248.6674162
Al2O3,Ethylene Glycol,4.26,35.2,2.887,1.685,1271,918,0.00619,2013.965472
TiO2,Water,1.12,33.9,1.955,1.05,1737,1651,0.00952,3982.155501
Al2O3,Propylene Glycol,1.61,67.5,0.916,1.382,4210,1493,0.00827,3062.976906
CuO,Ethylene Glycol,4.7,27.8,2.398,1.876,3005,1750,0.00723,3229.671799
Al2O3,Oil,2.47,62.4,2.778,1.698,3342,1380,0.00335,9060.510342
Al2O3,Ethylene Glycol,3.44,40.6,2.538,1.197,2146,1018,0.00669,2622.097442
TiO2,Propylene Glycol,1.29,88.4,2.062,1.334,1072,1830,0.00846,4318.094912
ZnO,Water,1.82,23,1.405,0.931,2388,1564,0.0085,2827.575019
SiO2,Ethylene Glycol,4.06,56.5,0.657,2.011,1525,1073,0.00465,1029.774237
ZnO,Water,0.42,22,0.586,1.189,4443,1154,0.0047,2686.266675
ZnO,Ethylene Glycol,1.01,76.6,0.649,1.354,1992,1954,0.00838,2499.604783
ZnO,Propylene Glycol,0.69,23.6,0.421,1.492,1637,921,0.00681,1086.188373
SiO2,Ethylene Glycol,2.49,37.4,2.949,1.851,2320,1538,0.00414,8771.308363
TiO2,Water,3.8,80.7,0.65,0.602,3057,1480,0.00502,894.3840077
Al2O3,Ethylene Glycol,0.28,43.5,0.63,1.448,2470,1873,0.00215,5179.927357
SiO2,Propylene Glycol,3.78,73.3,2.136,1.216,1196,1864,0.00246,3988.026516
TiO2,Propylene Glycol,0.14,38.1,0.358,1.406,1060,1258,0.00984,933.7751552
SiO2,Ethylene Glycol,4.82,89.3,2.802,1.937,3695,1056,0.00285,4050.497433
SiO2,Ethylene Glycol,0.66,54.8,1.312,1.178,4233,1029,0.00275,5550.014758
ZnO,Water,0.41,59.7,0.551,1.52,2135,1641,0.00964,2143.93032
ZnO,Ethylene Glycol,0.13,38.8,1.953,1.627,1945,1488,0.00819,6162.307111
CuO,Water,4.48,52.5,0.23,1.541,3638,2002,0.00218,1027.596697
TiO2,Oil,0.26,45.6,0.632,1.201,820,1406,0.00148,2792.507289
CuO,Ethylene Glycol,2.03,20.8,1.784,1.982,3256,1384,0.00962,5017.703659
TiO2,Water,1.91,38,2.392,0.966,1348,1152,0.00735,2864.212539
ZnO,Propylene Glycol,1.89,74.4,0.193,0.685,4496,947,0.00222,698.8033856
SiO2,Oil,1.59,89,2.769,0.601,1922,1439,0.00094,8126.058591
Al2O3,Water,1.07,66.6,2.228,1.696,3858,1212,0.00102,15584.872
SiO2,Oil,3.66,70,2.377,1.435,1495,1570,0.00152,5582.317988
CuO,Oil,4.84,84.6,2.659,0.734,1563,1263,0.00837,1113.020146
TiO2,Ethylene Glycol,0.56,47.9,1.573,1.425,1285,1681,0.00722,4538.314949
CuO,Ethylene Glycol,4.78,43.4,0.633,1.578,3050,1438,0.00475,1053.418205
CuO,Ethylene Glycol,4.27,56.3,1.57,0.724,1531,1003,0.00574,901.3444346
Al2O3,Oil,0.68,43.8,0.452,0.9,1495,1221,0.00409,1243.604317
CuO,Propylene Glycol,0.34,42.4,2.471,1.721,2032,1991,0.00242,15601.91423
TiO2,Ethylene Glycol,2.43,40,1.924,1.404,2188,1770,0.00154,8689.4031
Al2O3,Propylene Glycol,4.76,78.5,2.521,0.742,3091,914,0.00267,1742.276505
ZnO,Oil,2.51,47.6,0.12,1.736,2322,1498,0.00873,468.8520904
SiO2,Water,0.28,54.7,1.508,1.14,4156,1263,0.0076,4939.078714
Al2O3,Oil,2.32,33.4,0.32,1.561,2574,1219,0.00606,1038.583048
SiO2,Water,3.06,60.5,2.48,1.491,4084,909,0.00381,5005.9505
ZnO,Water,4.25,72.7,1.625,1.372,3199,1767,0.00401,3321.451005
TiO2,Propylene Glycol,0.82,22.8,0.192,1.527,1469,1066,0.00092,1362.155834
ZnO,Oil,0.78,24.4,2.051,1.351,1222,1115,0.00394,4578.137361
ZnO,Water,1.93,20.1,2.602,1.727,4083,1894,0.00359,13253.56796
SiO2,Ethylene Glycol,1.5,33.2,0.764,1.697,3284,1809,0.00467,4413.723046
SiO2,Ethylene Glycol,3.9,30.1,2.092,0.774,3135,1594,0.00086,5669.24454
Al2O3,Oil,4.85,74.7,1.658,1.748,3702,1181,0.00177,3195.258961
CuO,Propylene Glycol,4.5,60.2,1.25,1.376,2451,1574,0.00321,2076.289136
Al2O3,Ethylene Glycol,4.35,84.5,1.356,1.171,3591,1316,0.00882,1570.422688
SiO2,Propylene Glycol,1.08,51.3,2.386,0.827,1880,1401,0.00268,6159.323783
TiO2,Propylene Glycol,0.53,26.2,2.626,1.731,3832,1951,0.00882,11815.57422
CuO,Oil,1.34,87.5,0.649,1.068,1320,1767,0.00533,1854.527944
CuO,Propylene Glycol,0.21,38,0.934,0.801,2296,1174,0.00266,3143.473656
TiO2,Propylene Glycol,4,73.1,1.611,1.198,4313,1082,0.00904,1779.775493
CuO,Oil,3.45,62.5,1.673,1.486,4342,1462,0.00583,3811.403077
TiO2,Water,4.46,23.7,2.095,1.488,1507,1570,0.00881,1978.224509
CuO,Water,2.13,76.3,2.16,1.253,1622,1531,0.00669,4132.536242
CuO,Propylene Glycol,2.6,70.3,0.649,1.006,2709,1219,0.00839,1111.957431
SiO2,Water,2.23,44.8,0.809,0.982,1710,1039,0.00629,1169.690986
Al2O3,Propylene Glycol,4.6,62.2,2.913,1.577,1889,1984,0.00886,3143.126774
SiO2,Water,3.61,72.8,0.504,0.68,3584,1391,0.00723,762.113813
SiO2,Ethylene Glycol,4.1,65.6,1.408,1.476,2578,1191,0.00763,1752.260196
ZnO,Ethylene Glycol,2.55,61.4,1.489,1.467,1119,1108,0.00396,2509.706441
CuO,Propylene Glycol,4.62,28.8,1.101,0.948,1699,1965,0.00984,986.3251594
ZnO,Water,4.46,70,0.269,1.484,1975,1500,0.00889,394.5856071
CuO,Ethylene Glycol,1.73,48.1,2.934,1.485,2732,1246,0.00954,5783.671281
ZnO,Water,1.64,34.8,2.388,1.522,3461,1427,0.00497,8053.972041
CuO,Water,4.22,61.7,0.707,1.866,1585,936,0.00224,1218.168741
Al2O3,Propylene Glycol,4.28,27.4,1.467,1.182,1729,1924,0.00986,1645.529216
ZnO,Oil,0.32,65.5,0.558,1.493,1704,1924,0.00164,4790.974912
CuO,Ethylene Glycol,2.7,41.2,0.524,1.781,3846,1098,0.00499,1738.899964
TiO2,Water,1.36,34.3,2.885,0.697,1244,924,0.00202,4011.109304
ZnO,Water,2.36,63.6,2.381,0.752,2584,1006,0.0089,2422.504905
Al2O3,Propylene Glycol,1.72,20.5,0.357,1.245,2565,1933,0.00908,1369.731677
SiO2,Propylene Glycol,0.91,67.2,1.081,0.664,4293,1465,0.00639,3022.195512
ZnO,Propylene Glycol,3.89,83.3,2.826,1.066,1357,1366,0.00939,2109.360986
SiO2,Ethylene Glycol,4.09,34.4,2.158,0.782,3399,948,0.0026,2369.731829
TiO2,Propylene Glycol,3.08,28.1,0.421,0.608,4008,1722,0.00129,1779.860394
CuO,Water,3.72,83.3,1.615,0.895,4333,1467,0.00166,4372.463235
CuO,Water,4.9,23.3,2.331,0.864,3786,946,0.00979,1114.846802
Al2O3,Ethylene Glycol,3.51,25.7,0.686,1.667,4050,1730,0.00533,2391.54507
Al2O3,Ethylene Glycol,3.58,50.9,1.947,1.4,4087,1968,0.00569,5231.486874
CuO,Oil,2.31,22,2.127,1.105,2913,1173,0.00828,3363.291084
TiO2,Water,2.07,88.8,2.044,1.163,3508,1932,0.00376,7807.218499
CuO,Water,2.07,31.1,0.826,2.018,1495,1248,0.00129,4110.214363
CuO,Propylene Glycol,4.96,72.5,2.121,1.216,4253,1908,0.00283,3440.607801
Al2O3,Water,2.19,20.2,2.628,1.379,3071,1041,0.00161,8548.01031
Al2O3,Propylene Glycol,1.77,60.3,0.208,0.976,4131,1162,0.00913,622.8664855
Al2O3,Water,2.56,35.5,1.897,0.829,3187,1653,0.00531,4088.930716
SiO2,Oil,2.1,39.6,2.759,1.666,3059,1265,0.00496,7566.601197
Al2O3,Water,1.86,51.7,2.2,1.955,4255,1848,0.00636,10027.96718
Al2O3,Oil,4.65,39.4,2.669,0.694,2599,1064,0.00967,1176.352799
SiO2,Propylene Glycol,0.74,88.8,1.841,0.843,3771,1855,0.00729,5728.188914
ZnO,Water,3.42,46.3,1.704,1.021,1026,1419,0.00952,1488.7892
Al2O3,Water,0.95,41.1,2.171,1.885,2640,1225,0.00853,6271.369211
SiO2,Ethylene Glycol,0.66,88.9,2.738,1.503,2572,1436,0.00214,13402.42129
TiO2,Ethylene Glycol,2.74,81.4,0.574,0.99,2281,1163,0.00565,1066.85985
Al2O3,Oil,4.1,80.9,3.001,1.715,1150,1019,0.00351,2975.718681
CuO,Propylene Glycol,3.26,55.7,2.063,1.496,3871,1142,0.00157,6462.761194
TiO2,Oil,0.75,34.8,1.644,1.46,3406,895,0.00615,4368.452005
Al2O3,Propylene Glycol,1.93,75.2,0.584,1.991,4154,1190,0.00771,2210.466397
TiO2,Oil,4.49,54,2.507,1.43,4484,1435,0.00145,6430.186683
Al2O3,Oil,3.69,69.9,0.413,1.837,1090,1538,0.00358,994.6872089
Al2O3,Oil,3.6,72.3,1.884,1.666,1273,1331,0.00122,4835.203972
SiO2,Ethylene Glycol,2.29,58.8,2.127,0.819,1942,1513,0.00751,3148.773981
Al2O3,Oil,0.74,46.1,0.88,1.011,1122,1878,0.00424,2902.805978
CuO,Ethylene Glycol,1.18,36.1,0.239,1.631,2544,1814,0.00699,1326.242101
SiO2,Propylene Glycol,2.62,74.3,2.965,0.775,2250,1830,0.00065,11748.79256
TiO2,Water,0.3,28.9,2.571,1.783,3322,1750,0.0047,13917.85751
Al2O3,Ethylene Glycol,0.76,20.5,0.433,1.412,3228,964,0.00875,1301.833455
TiO2,Water,3.2,62.8,0.297,0.777,2053,1338,0.0082,452.9540144
ZnO,Ethylene Glycol,2.71,78.6,0.41,1.33,4436,1987,0.00768,1724.448199
TiO2,Oil,1.67,81.3,2.165,0.81,3575,1885,0.00557,6184.300583
TiO2,Oil,4.53,59.9,2.285,1.972,2747,1629,0.0037,4383.500175
TiO2,Propylene Glycol,3.64,60.7,2.204,1.147,2203,1494,0.00554,3159.433924
SiO2,Propylene Glycol,3.9,56.7,2.868,1.553,4091,1713,0.00779,5456.783279
TiO2,Propylene Glycol,3.66,25,0.181,1.653,2066,1416,0.00573,494.0254024
ZnO,Ethylene Glycol,0.85,42.6,0.902,1.207,1756,1836,0.00826,2816.560497
ZnO,Propylene Glycol,1.52,68.3,1.181,1.444,4306,1046,0.00459,3971.61984
ZnO,Propylene Glycol,0.4,33.5,2.194,1.204,2113,1663,0.00675,6522.352839
SiO2,Ethylene Glycol,2.72,39.6,1.359,1.929,4063,1823,0.0031,7183.337988
ZnO,Oil,3.13,71,0.526,0.939,1310,1553,0.00673,817.4613204
TiO2,Ethylene Glycol,2.7,52.2,2.738,1.275,1000,1885,0.00658,4241.401491
SiO2,Oil,0.99,62.6,1.109,1.736,1987,1319,0.00762,3258.024755
Al2O3,Oil,1.56,82,1.611,1.208,3888,1032,0.0064,3558.988259
CuO,Water,3.03,29.8,0.185,1.822,4393,1406,0.00413,967.6994358
Al2O3,Propylene Glycol,4.28,21.4,0.401,2.009,4023,1428,0.00281,1404.992404
SiO2,Oil,1.34,69.4,2.733,1.628,1501,1828,0.00278,10959.64972
Al2O3,Ethylene Glycol,4.98,39.8,1.621,1.124,4264,1705,0.00668,1851.187893
Al2O3,Propylene Glycol,4.18,85.8,2.667,1.748,3561,977,0.00892,2808.369088
TiO2,Ethylene Glycol,0.13,37.7,0.827,0.737,4330,1885,0.00838,3243.906673
Al2O3,Ethylene Glycol,1.61,50.3,0.118,0.804,4331,1689,0.00852,503.4545987
CuO,Propylene Glycol,0.64,81.1,1.497,1.129,4090,944,0.00888,3435.24833
CuO,Water,3.87,76.6,1.556,0.915,4227,1411,0.00361,2885.575416
CuO,Water,1.65,65.8,1.576,1.995,2048,1944,0.00289,8818.03829
Al2O3,Oil,3.7,34.4,1.25,1.094,4256,930,0.00119,3197.381657
ZnO,Oil,1.37,46.4,2.177,1.192,2624,1034,0.0008,9617.605745
ZnO,Propylene Glycol,3.2,62.3,0.14,0.713,2900,1433,0.00329,398.9757888
SiO2,Water,4.44,68,1.666,1.163,1751,1185,0.00425,1615.219215
ZnO,Water,1.31,67.3,2.533,0.811,1453,1578,0.00327,5318.727715
TiO2,Oil,2.2,75.4,0.377,1.698,1197,1999,0.00631,1324.439076
TiO2,Ethylene Glycol,4.69,33,2.842,1.749,1221,1990,0.00502,3446.10507
TiO2,Oil,4.74,62.5,0.667,0.846,3808,1241,0.0031,889.8846557
CuO,Oil,1.82,28.2,0.818,0.914,4122,1563,0.00485,2718.184207
ZnO,Propylene Glycol,3.38,52.4,2.477,1.551,4028,1427,0.00189,8746.329964
CuO,Oil,0.15,90.5,2.24,1.101,1909,1756,0.00239,10131.88968
ZnO,Ethylene Glycol,1.19,64.4,0.293,1.113,2107,1556,0.00431,1263.892139
ZnO,Propylene Glycol,2.28,40.5,1.323,1.378,3585,1173,0.0018,5448.806169
TiO2,Ethylene Glycol,4.76,20.9,2.379,1.9,2344,1165,0.00402,2781.768638
TiO2,Propylene Glycol,0.95,48.2,1.722,1.044,3681,1332,0.00286,6762.153921
SiO2,Oil,4.55,39.2,1.447,1.26,2792,1384,0.00835,1477.321182
TiO2,Water,3.04,59.9,0.566,1.527,4000,1714,0.00348,2569.965975
ZnO,Ethylene Glycol,0.65,27.9,0.851,0.793,1621,936,0.00843,1183.012232
Al2O3,Oil,1.94,53,0.882,0.834,1655,2003,0.00537,2136.946101
SiO2,Oil,1.63,33.3,0.27,1.475,1364,1616,0.00917,775.5241281
Al2O3,Water,0.22,34.9,0.923,0.742,2531,1850,0.00574,3236.158526
ZnO,Propylene Glycol,0.77,32.3,1.108,1.08,3392,1451,0.00976,3229.335799
CuO,Water,0.55,35.1,0.503,1.128,3469,956,0.00447,1804.552654
TiO2,Ethylene Glycol,4.95,87.4,1.588,1.457,4098,1398,0.00536,1970.18707
CuO,Oil,1.55,28.5,2.334,1.04,2382,1583,0.00276,7651.457719
Al2O3,Water,3.29,24.2,1.763,1.788,1240,1232,0.00533,2614.029299
Al2O3,Water,0.99,34.2,1.23,1.55,2288,1882,0.00869,4381.844544
CuO,Oil,4.36,79.4,1.428,1.873,1986,1889,0.00636,2527.788071
ZnO,Propylene Glycol,1.66,78,2.796,1.741,3258,1523,0.00889,7933.039414
Al2O3,Ethylene Glycol,1.22,23.8,2.245,0.994,2070,1258,0.00969,3653.584597
CuO,Oil,3.25,23.9,2.229,1.43,4116,1792,0.00585,5744.148411
CuO,Water,4.2,47.8,2.42,1.538,2882,1243,0.00922,2619.110529
CuO,Water,4.52,70,2.211,0.78,3797,1264,0.00202,2819.507123
Al2O3,Ethylene Glycol,2,26.4,2.278,1.888,4138,1344,0.00979,6406.684875
TiO2,Oil,1.84,62,0.85,1.694,1428,1577,0.00571,2548.882526
TiO2,Ethylene Glycol,4.29,46.8,0.548,1.402,2040,1874,0.00076,2392.428756
Al2O3,Propylene Glycol,1.96,25.3,2.72,0.64,940,1712,0.00585,3223.401207
Al2O3,Water,0.97,72.5,1.589,0.63,1891,1574,0.00239,4226.232276
SiO2,Water,1.7,35.2,2.671,1.364,2830,1633,0.00805,6807.394282
SiO2,Oil,0.82,79.7,0.441,0.96,2397,998,0.00078,2488.993552
Al2O3,Oil,0.95,31.1,0.915,1.799,1209,1356,0.00854,2398.441714
Al2O3,Ethylene Glycol,3.84,55.8,0.23,1.156,929,1176,0.00244,394.6055523
TiO2,Oil,3.88,49.2,2.463,1.112,2303,1122,0.00272,3166.970842
SiO2,Oil,4.05,62.5,2.632,1.095,1126,1042,0.00401,2005.069911
SiO2,Propylene Glycol,3.73,31.7,2.495,0.96,1386,1527,0.00925,2094.262887
Al2O3,Propylene Glycol,2.95,29.3,2.473,0.696,3104,1644,0.00383,4456.606957
SiO2,Oil,1.72,66.1,0.355,0.925,3294,1432,0.00061,2926.072431
Al2O3,Propylene Glycol,5,58.8,2.048,1.598,996,1080,0.0074,1011.426852
TiO2,Oil,1.07,43.8,2.524,1.517,1207,933,0.00739,3629.377536
TiO2,Water,3.27,51.2,1.142,1.909,1944,1086,0.00286,2706.660183
